
================================Época 1==================================

Value (mG);Satellite Timestamp (UTC)
-411.5384826660156;2022-07-02 01:09:24.349Z
-266.923095703125;2022-07-02 01:19:24.782Z
-263.8461608886719;2022-07-02 01:24:25.061Z
-190.7692413330078;2022-07-02 01:29:25.348Z
-263.0769348144531;2022-07-02 01:34:25.666Z
-268.4615478515625;2022-07-02 01:39:25.939Z
-216.92308044433594;2022-07-02 01:49:26.507Z
-172.3076934814453;2022-07-02 01:54:26.805Z
-403.0769348144531;2022-07-02 01:59:27.102Z
-347.69232177734375;2022-07-02 02:04:27.424Z
-213.84616088867188;2022-07-02 02:09:27.715Z
-280.76922607421875;2022-07-02 02:14:27.993Z
-323.8461608886719;2022-07-02 02:19:28.251Z
-246.92308044433594;2022-07-02 02:24:28.515Z
-274.6153869628906;2022-07-02 02:29:28.794Z
-220;2022-07-02 02:34:29.087Z
-384.6153869628906;2022-07-02 02:44:29.668Z
-315.3846130371094;2022-07-02 02:49:29.942Z
-175.38461303710938;2022-07-02 02:54:30.218Z
-296.923095703125;2022-07-02 02:59:30.475Z
-273.8461608886719;2022-07-02 03:04:30.750Z
-252.3076934814453;2022-07-02 03:09:31.033Z
-218.4615478515625;2022-07-02 03:14:31.328Z
-176.92308044433594;2022-07-02 03:19:31.630Z
-291.5384521484375;2022-07-02 03:24:31.923Z
-449.23077392578125;2022-07-02 03:29:32.171Z
-232.3076934814453;2022-07-02 03:34:32.452Z
-152.3076934814453;2022-07-02 03:39:32.833Z
-196.1538543701172;2022-07-02 03:44:33.008Z
-230.7692413330078;2022-07-02 03:49:33.289Z
-271.5384521484375;2022-07-02 03:54:33.615Z
-275.3846130371094;2022-07-02 03:59:33.896Z
-251.53846740722656;2022-07-02 04:04:34.166Z
-220.7692413330078;2022-07-02 04:09:34.437Z
-204.61538696289062;2022-07-02 04:14:34.718Z
-97.69230651855469;2022-07-02 04:19:35.008Z
-330.76922607421875;2022-07-02 04:24:35.280Z
-232.3076934814453;2022-07-02 04:34:35.875Z
-146.92308044433594;2022-07-02 04:39:36.183Z
-276.923095703125;2022-07-02 04:44:36.459Z
-326.923095703125;2022-07-02 04:54:37.076Z
-410;2022-07-02 04:59:37.325Z
