Rótulos de Linha;Contagem de Num;;;;;;;;;;;;;;;;;
0;4;;;;;;;;;;;;;;;;;
1;2;;;;;;;;;;;;;;;;;
2;2;;;;;;;;;;;;;;;;;
4;1;;;;;;;;;;;;;;;;;
6;1;;;;;;;;;;;;;;;;;
7;2;;;;;;;;;;;;;;;;;
9;1;;;;;;;;;;;;;;;;;
10;1;;;;;;;;;;;;;;;;;
11;1;;;;;;;;;;;;;;;;;
13;4;;;;;;;;;;;;;;;;;
17;3;;;;;;;;;;;;;;;;;
20;2;;;;;;;;;;;;;;;;;
21;1;;;;;;;;;;;;;;;;;
23;2;;;;;;;;;;;;;;;;;
24;1;;;;;;;;;;;;;;;;;
26;1;;;;;;;;;;;;;;;;;
28;2;;;;;;;;;;;;;;;;;
29;2;;;;;;;;;;;;;;;;;
30;221;;;;;;;;;;;;;;;;;
40;1;;;;;;;;;;;;;;;;;
47;1;;;;;;;;;;;;;;;;;
48;1;;;;;;;;;;;;;;;;;
60;33;;;;;;;;;;;;;;;;;
72;1;;;;;;;;;;;;;;;;;
77;1;;;;;;;;;;;;;;;;;
85;1;;;;;;;;;;;;;;;;;
90;17;;;;;;;;;;;;;;;;;
110;1;;;;;;;;;;;;;;;;;
120;1;;;;;;;;;;;;;;;;;
121;5;;;;;;;;;;;;;;;;;
132;1;;;;;;;;;;;;;;;;;
142;1;;;;;;;;;;;;;;;;;
151;4;;;;;;;;;;;;;;;;;
153;1;;;;;;;;;;;;;;;;;
159;1;;;;;;;;;;;;;;;;;
181;2;;;;;;;;;;;;;;;;;
200;1;;;;;;;;;;;;;;;;;
204;1;;;;;;;;;;;;;;;;;
209;1;;;;;;;;;;;;;;;;;
211;1;;;;;;;;;;;;;;;;;
215;1;;;;;;;;;;;;;;;;;
223;1;;;;;;;;;;;;;;;;;
225;1;;;;;;;;;;;;;;;;;
227;1;;;;;;;;;;;;;;;;;
241;4;;;;;;;;;;;;;;;;;
249;1;;;;;;;;;;;;;;;;;
300;1268;;;;;;;;;;;;;;;;;
301;2;;;;;;;;;;;;;;;;;
589;1;;;;;;;;;;;;;;;;;
600;6;;;;;;;;;;;;;;;;;
601;124;;;;;;;;;;;;;;;;;
610;1;;;;;;;;;;;;;;;;;
781;1;;;;;;;;;;;;;;;;;
801;1;;;;;;;;;;;;;;;;;
846;1;;;;;;;;;;;;;;;;;
900;1;;;;;;;;;;;;;;;;;
901;50;;;;;;;;;;;;;;;;;
1027;1;;;;;;;;;;;;;;;;;
1201;20;;;;;;;;;;;;;;;;;
1321;1;;;;;;;;;;;;;;;;;
1390;1;;;;;;;;;;;;;;;;;
1501;15;;;;;;;;;;;;;;;;;
1802;6;;;;;;;;;;;;;;;;;
2102;8;;;;;;;;;;;;;;;;;
2278;1;;;;;;;;;;;;;;;;;
2402;6;;;;;;;;;;;;;;;;;
2703;4;;;;;;;;;;;;;;;;;
2727;1;;;;;;;;;;;;;;;;;
2736;1;;;;;;;;;;;;;;;;;
3003;2;;;;;;;;;;;;;;;;;
3155;1;;;;;;;;;;;;;;;;;
3297;1;;;;;;;;;;;;;;;;;
3303;2;;;;;;;;;;;;;;;;;
3603;2;;;;;;;;;;;;;;;;;
3604;1;;;;;;;;;;;;;;;;;
3685;1;;;;;;;;;;;;;;;;;
3797;1;;;;;;;;;;;;;;;;;
3903;1;;;;;;;;;;;;;;;;;
3904;2;;;;;;;;;;;;;;;;;
4204;1;;;;;;;;;;;;;;;;;
4504;1;;;;;;;;;;;;;;;;;
4544;1;;;;;;;;;;;;;;;;;
4804;1;;;;;;;;;;;;;;;;;
5243;1;;;;;;;;;;;;;;;;;
5303;1;;;;;;;;;;;;;;;;;
5333;1;;;;;;;;;;;;;;;;;
5363;1;;;;;;;;;;;;;;;;;
5405;2;;;;;;;;;;;;;;;;;
5706;1;;;;;;;;;;;;;;;;;
7207;1;;;;;;;;;;;;;;;;;
7699;1;;;;;;;;;;;;;;;;;
8594;1;;;;;;;;;;;;;;;;;
9009;1;;;;;;;;;;;;;;;;;
9245;1;;;;;;;;;;;;;;;;;
9390;1;;;;;;;;;;;;;;;;;
9909;1;;;;;;;;;;;;;;;;;
10810;1;;;;;;;;;;;;;;;;;
10901;1;;;;;;;;;;;;;;;;;
11111;1;;;;;;;;;;;;;;;;;
13513;1;;;;;;;;;;;;;;;;;
15237;1;;;;;;;;;;;;;;;;;
16816;1;;;;;;;;;;;;;;;;;
18357;1;;;;;;;;;;;;;;;;;
19218;1;;;;;;;;;;;;;;;;;
20434;1;;;;;;;;;;;;;;;;;
21161;1;;;;;;;;;;;;;;;;;
21763;1;;;;;;;;;;;;;;;;;
23235;1;;;;;;;;;;;;;;;;;
24173;1;;;;;;;;;;;;;;;;;
24199;1;;;;;;;;;;;;;;;;;
25510;1;;;;;;;;;;;;;;;;;
28827;1;;;;;;;;;;;;;;;;;
30215;1;;;;;;;;;;;;;;;;;
32385;1;;;;;;;;;;;;;;;;;
33718;1;;;;;;;;;;;;;;;;;
34798;1;;;;;;;;;;;;;;;;;
35457;1;;;;;;;;;;;;;;;;;
37030;1;;;;;;;;;;;;;;;;;
37239;1;;;;;;;;;;;;;;;;;
37390;1;;;;;;;;;;;;;;;;;
38595;1;;;;;;;;;;;;;;;;;
39551;1;;;;;;;;;;;;;;;;;
40095;1;;;;;;;;;;;;;;;;;
41439;1;;;;;;;;;;;;;;;;;
41758;1;;;;;;;;;;;;;;;;;
41759;1;;;;;;;;;;;;;;;;;
41788;1;;;;;;;;;;;;;;;;;
41789;1;;;;;;;;;;;;;;;;;
