Y-axis OBC magnetometer measure;
;
Value (mG);Satellite Timestamp (UTC)
-49.230770111083984;2022-04-03 02:30:09.771Z
-70;2022-04-03 02:30:39.895Z
-91.53845977783203;2022-04-03 02:31:10.033Z
-208.4615478515625;2022-04-04 02:17:15.561Z
-138.4615478515625;2022-04-04 02:18:45.956Z
-170.7692413330078;2022-04-04 02:19:16.069Z
-124.61538696289062;2022-04-04 02:23:01.073Z
31.538461685180664;2022-04-09 02:16:37.689Z
330;2022-04-09 04:24:56.518Z
250.7692413330078;2022-04-09 04:29:56.832Z
24.615385055541992;2022-04-14 02:19:33.351Z
57.69231033325195;2022-04-14 02:24:34.631Z
55.38461685180664;2022-04-14 02:25:04.755Z
146.1538543701172;2022-04-16 10:52:29.687Z
4.615384578704834;2022-04-19 12:58:33.946Z
282.3077087402344;2022-04-19 13:23:35.412Z
157.6923065185547;2022-04-19 13:33:35.965Z
159.23077392578125;2022-04-19 13:38:36.226Z
225.38461303710938;2022-04-19 13:53:37.072Z
202.3076934814453;2022-04-19 13:58:37.346Z
116.15384674072266;2022-04-19 14:08:37.928Z
57.69231033325195;2022-04-19 14:13:38.204Z
7.692307949066162;2022-04-19 14:18:38.500Z
15.384615898132324;2022-04-19 14:28:39.075Z
-12.307692527770996;2022-04-19 14:33:39.363Z
95.3846206665039;2022-04-19 14:38:39.685Z
260;2022-04-19 14:48:40.280Z
358.4615478515625;2022-04-19 14:53:40.542Z
240.7692413330078;2022-04-19 14:58:40.828Z
117.69230651855469;2022-04-19 15:08:41.399Z
137.6923065185547;2022-04-19 15:13:41.702Z
228.4615478515625;2022-04-19 15:18:42.054Z
0.7692307829856873;2022-04-20 02:01:57.453Z
176.92308044433594;2022-04-21 07:40:59.440Z
228.4615478515625;2022-04-21 07:56:00.269Z
76.92308044433594;2022-04-21 09:01:03.967Z
52.30769348144531;2022-04-24 02:29:45.562Z
51.5384635925293;2022-04-24 02:30:15.726Z
52.30769348144531;2022-04-24 02:30:45.874Z
66.15384674072266;2022-04-24 02:31:15.999Z
-15.384615898132324;2022-05-01 13:52:22.707Z
92.30769348144531;2022-05-20 06:54:44.622Z
99.23077392578125;2022-05-20 06:59:44.994Z
220.7692413330078;2022-05-20 07:09:45.154Z
265.3846130371094;2022-05-20 07:14:45.440Z
181.53846740722656;2022-05-20 07:19:45.692Z
296.1538391113281;2022-05-20 07:24:45.973Z
323.8461608886719;2022-05-20 07:29:46.262Z
238.4615478515625;2022-05-20 07:34:46.550Z
130.76922607421875;2022-05-20 07:39:46.821Z
85.3846206665039;2022-05-20 07:44:47.127Z
103.0769271850586;2022-05-20 07:49:47.408Z
85.3846206665039;2022-05-20 07:54:47.676Z
101.53845977783203;2022-05-20 07:59:47.979Z
153.84616088867188;2022-05-20 08:04:48.264Z
190;2022-05-20 08:09:48.581Z
127.69230651855469;2022-05-20 08:14:48.840Z
102.30769348144531;2022-05-20 08:19:49.128Z
86.92308044433594;2022-05-20 08:24:49.389Z
56.92307662963867;2022-05-20 08:29:49.691Z
76.15384674072266;2022-05-20 08:34:49.938Z
56.92307662963867;2022-05-20 08:39:50.230Z
126.92308044433594;2022-05-20 08:44:50.515Z
227.6923065185547;2022-05-20 08:49:50.772Z
302.3077087402344;2022-05-20 08:54:51.055Z
326.1538391113281;2022-05-20 08:59:51.366Z
201.53846740722656;2022-05-20 09:04:51.642Z
151.53846740722656;2022-05-20 09:09:51.949Z
110;2022-05-20 09:14:52.220Z
53.846153259277344;2022-05-20 09:19:52.496Z
56.153846740722656;2022-05-20 09:24:52.862Z
25.384614944458008;2022-05-20 09:29:53.052Z
74.61538696289062;2022-05-20 09:34:53.301Z
144.61538696289062;2022-05-20 09:39:53.598Z
233.84616088867188;2022-05-20 09:44:53.878Z
246.92308044433594;2022-05-20 09:49:54.158Z
180.7692413330078;2022-05-20 09:54:54.460Z
160.76922607421875;2022-05-20 09:59:54.736Z
108.46154022216797;2022-05-20 10:04:55.016Z
66.15384674072266;2022-05-20 10:09:55.321Z
67.69230651855469;2022-05-20 10:14:55.588Z
163.07691955566406;2022-05-20 10:19:55.871Z
228.4615478515625;2022-05-20 10:24:56.171Z
299.23077392578125;2022-05-20 10:29:56.465Z
315.3846130371094;2022-05-20 10:34:56.772Z
248.4615478515625;2022-05-20 10:39:57.064Z
180;2022-05-20 10:44:57.363Z
126.92308044433594;2022-05-20 10:49:57.685Z
84.61538696289062;2022-05-20 10:54:57.948Z
77.69230651855469;2022-05-20 10:59:58.231Z
129.23077392578125;2022-05-20 11:14:59.082Z
211.53846740722656;2022-05-20 11:19:59.361Z
303.8461608886719;2022-05-20 11:24:59.662Z
219.23077392578125;2022-05-20 11:35:00.244Z
152.3076934814453;2022-05-20 11:40:00.556Z
215.38461303710938;2022-05-20 11:55:01.485Z
174.61538696289062;2022-05-25 03:26:27.152Z
-26.923076629638672;2022-05-25 03:31:27.461Z
2.307692289352417;2022-05-25 03:36:27.730Z
-13.84615421295166;2022-05-25 03:41:28.039Z
6.153846263885498;2022-05-25 03:46:28.300Z
42.30769348144531;2022-05-25 03:51:28.617Z
37.69230651855469;2022-05-25 03:56:28.864Z
192.3076934814453;2022-05-25 04:06:29.448Z
276.1538391113281;2022-05-25 04:16:29.972Z
11.538461685180664;2022-05-25 14:07:26.869Z
6.153846263885498;2022-05-25 14:07:57.023Z
26.153846740722656;2022-05-25 14:08:27.149Z
19.230770111083984;2022-05-25 14:08:57.288Z
-13.076923370361328;2022-05-25 14:09:27.412Z
-32.30769348144531;2022-05-25 14:09:57.550Z
176.1538543701172;2022-05-26 02:42:47.132Z
260;2022-05-26 03:52:50.748Z
336.923095703125;2022-05-26 03:57:51.054Z
223.07691955566406;2022-05-26 04:02:51.357Z
253.07693481445312;2022-05-26 04:07:51.651Z
176.92308044433594;2022-05-26 04:12:51.945Z
176.1538543701172;2022-05-26 04:17:52.233Z
140.76922607421875;2022-05-26 04:22:52.509Z
278.4615478515625;2022-05-26 04:27:52.817Z
115.3846206665039;2022-05-26 04:37:53.386Z
196.1538543701172;2022-05-26 04:42:53.654Z
130;2022-05-26 04:47:53.956Z
92.30769348144531;2022-05-26 04:52:54.273Z
58.46154022216797;2022-05-26 04:57:54.575Z
44.615386962890625;2022-05-26 05:02:54.854Z
146.1538543701172;2022-05-26 05:07:55.128Z
198.4615478515625;2022-05-26 05:12:55.418Z
223.84616088867188;2022-05-26 05:17:55.694Z
192.3076934814453;2022-05-26 05:22:55.977Z
320;2022-05-26 05:27:56.267Z
166.1538543701172;2022-05-26 05:32:56.573Z
302.3077087402344;2022-05-26 05:37:56.875Z
213.84616088867188;2022-05-26 05:42:57.245Z
144.61538696289062;2022-05-26 05:47:57.390Z
103.0769271850586;2022-05-26 05:52:57.671Z
156.1538543701172;2022-05-26 05:57:57.962Z
217.6923065185547;2022-05-26 06:02:58.264Z
196.92308044433594;2022-05-26 06:07:58.552Z
143.84616088867188;2022-05-26 06:12:58.851Z
174.61538696289062;2022-05-26 06:17:59.137Z
176.1538543701172;2022-05-26 06:22:59.441Z
142.3076934814453;2022-05-26 06:27:59.725Z
74.61538696289062;2022-05-26 06:32:59.994Z
93.0769271850586;2022-05-26 06:38:00.296Z
103.0769271850586;2022-05-26 06:43:00.560Z
268.4615478515625;2022-05-26 06:58:01.406Z
318.4615478515625;2022-05-26 07:03:01.707Z
270;2022-05-26 07:08:02.009Z
306.1538391113281;2022-05-26 07:13:02.302Z
190.7692413330078;2022-05-26 07:18:02.589Z
151.53846740722656;2022-05-26 07:43:04.062Z
210.7692413330078;2022-05-26 07:48:04.332Z
152.3076934814453;2022-05-26 07:53:04.616Z
132.3076934814453;2022-05-26 08:03:05.181Z
133.84616088867188;2022-05-26 08:08:05.437Z
68.46154022216797;2022-05-26 08:13:05.816Z
183.84616088867188;2022-05-26 08:23:06.226Z
173.07691955566406;2022-05-26 08:33:06.834Z
303.0769348144531;2022-05-26 08:38:07.149Z
206.92308044433594;2022-05-26 08:43:07.442Z
161.53846740722656;2022-05-26 08:48:07.734Z
103.0769271850586;2022-05-26 08:58:08.296Z
106.92308044433594;2022-05-26 09:03:08.583Z
80;2022-05-26 09:08:08.884Z
71.53845977783203;2022-05-26 09:13:09.168Z
147.6923065185547;2022-05-26 09:18:09.468Z
197.6923065185547;2022-05-26 09:33:10.291Z
221.53846740722656;2022-05-26 09:38:10.603Z
109.23077392578125;2022-05-26 09:43:10.857Z
66.92308044433594;2022-05-26 09:53:11.413Z
64.61538696289062;2022-05-26 09:58:11.690Z
216.1538543701172;2022-05-26 10:13:12.557Z
286.923095703125;2022-05-26 10:18:12.849Z
222.3076934814453;2022-05-26 10:23:13.122Z
58.46154022216797;2022-05-26 10:28:13.404Z
32.30769348144531;2022-05-26 10:33:13.706Z
16.923076629638672;2022-05-26 10:43:14.358Z
-9.230769157409668;2022-05-26 10:48:14.539Z
56.153846740722656;2022-05-26 10:53:14.843Z
296.923095703125;2022-05-26 11:03:15.415Z
235.38461303710938;2022-05-26 11:13:15.964Z
157.6923065185547;2022-05-26 11:18:16.250Z
78.46154022216797;2022-05-26 11:23:16.528Z
73.0769271850586;2022-05-26 11:33:17.140Z
269.23077392578125;2022-05-26 11:43:17.723Z
240;2022-05-26 11:48:18.039Z
286.1538391113281;2022-05-26 11:53:18.315Z
96.92308044433594;2022-05-26 12:03:18.915Z
80;2022-05-26 12:08:19.222Z
26.923076629638672;2022-05-26 12:13:19.518Z
25.384614944458008;2022-05-26 12:18:19.798Z
21.538461685180664;2022-05-26 12:23:20.131Z
33.07692337036133;2022-05-26 12:28:20.432Z
253.07693481445312;2022-05-26 12:38:21.024Z
